OrderID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,order_date
B-25681,1096,658,7,Electronics,Electronic Games,COD,26-06-2017
B-26055,5729,64,14,Furniture,Chairs,EMI,11-08-2018
B-25955,2927,146,8,Furniture,Bookcases,EMI,21-11-2011
B-26093,2847,712,8,Electronics,Printers,Credit Card,22-03-2015
B-25602,2617,1151,4,Electronics,Phones,Credit Card,12-09-2014
B-25881,2244,247,4,Clothing,Trousers,Credit Card,21-03-2020
B-25696,275,-275,4,Clothing,Saree,COD,27-08-2013
B-25687,387,-213,5,Clothing,Saree,UPI,21-07-2013
B-25643,50,-44,2,Clothing,Hankerchief,UPI,15-05-2018
B-25851,135,-54,5,Clothing,Kurti,COD,28-10-2018
B-25703,231,-190,9,Clothing,Hankerchief,COD,31-07-2011
B-25887,2125,-234,6,Electronics,Printers,EMI,08-06-2014
B-25923,3873,-891,6,Electronics,Phones,Credit Card,18-08-2018
B-25756,729,-492,5,Furniture,Bookcases,UPI,19-08-2019
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,25-04-2010
B-25655,6,-3,1,Clothing,Hankerchief,UPI,14-09-2019
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,25-11-2012
B-26095,6,1,1,Clothing,Kurti,UPI,02-07-2018
B-25853,2093,721,5,Furniture,Chairs,Credit Card,17-09-2015
B-25735,7,-1,2,Clothing,Skirt,UPI,10-11-2020
B-25910,1622,-624,5,Furniture,Tables,Credit Card,21-06-2011
B-25950,1622,95,5,Electronics,Printers,Credit Card,12-06-2012
B-25744,373,254,6,Electronics,Printers,UPI,04-08-2016
B-25845,82,-33,4,Clothing,Kurti,COD,17-04-2011
B-26001,8,2,2,Clothing,Skirt,UPI,12-01-2015
B-25830,1954,782,3,Electronics,Phones,Credit Card,31-07-2019
B-25842,1543,370,8,Electronics,Printers,Credit Card,01-03-2012
B-25778,1506,-266,6,Electronics,Printers,Credit Card,25-03-2020
B-25686,1829,-56,6,Furniture,Tables,Credit Card,28-12-2010
B-25754,9,-1,3,Clothing,Skirt,UPI,18-05-2015
B-26048,1461,202,5,Furniture,Tables,EMI,17-08-2012
B-25816,391,113,8,Clothing,Stole,COD,11-12-2011
B-26022,1824,1303,8,Electronics,Phones,Credit Card,14-11-2016
B-25883,16,-15,4,Clothing,Hankerchief,UPI,13-09-2017
B-26003,1745,122,2,Furniture,Tables,Credit Card,27-06-2013
B-26097,663,-212,5,Electronics,Printers,UPI,26-04-2010
B-25710,10,-1,1,Clothing,Leggings,UPI,21-02-2014
B-25797,1630,802,5,Furniture,Tables,EMI,17-12-2015
B-25618,12,0,2,Clothing,Hankerchief,UPI,20-06-2016
B-25723,12,-7,2,Clothing,Leggings,UPI,29-03-2011
B-25755,1709,564,3,Clothing,Trousers,Credit Card,22-05-2011
B-25788,12,3,1,Clothing,Stole,UPI,15-05-2011
B-25681,1625,-77,3,Electronics,Phones,EMI,22-12-2012
B-25991,13,5,2,Clothing,Hankerchief,UPI,23-06-2015
B-25779,1361,980,3,Furniture,Tables,COD,14-05-2013
B-25909,1622,-448,3,Electronics,Phones,EMI,14-02-2018
B-25943,1547,340,6,Electronics,Accessories,EMI,18-10-2015
B-25935,1657,460,4,Furniture,Chairs,Credit Card,21-08-2016
B-25613,1603,0,9,Clothing,Saree,Credit Card,25-10-2010
